Booking_ID,arrival_month
INN00001,5.0
INN00002,11.0
INN00003,3.0
INN00004,12.0
INN00005,5.0
INN00006,8.0
INN00007,11.0
INN00008,3.0
INN00009,11.0
INN00010,12.0
INN00011,9.0
INN00012,6.0
INN00013,12.0
INN00014,2.0
INN00015,12.0
INN00016,2.0
INN00017,10.0
INN00018,8.0
INN00019,2.0
INN00020,10.0
INN00021,2.0
INN00022,3.0
INN00023,3.0
INN00024,11.0
INN00025,9.0
INN00026,8.0
INN00027,11.0
INN00028,5.0
INN00029,12.0
INN00030,11.0
INN00031,9.0
INN00032,2.0
INN00033,2.0
INN00034,1.0
INN00035,12.0
INN00036,5.0
INN00037,7.0
INN00038,8.0
INN00039,7.0
INN00040,2.0
INN00041,1.0
INN00042,7.0
INN00043,7.0
INN00044,8.0
INN00045,1.0
INN00046,5.0
INN00047,12.0
INN00048,5.0
INN00049,12.0
INN00050,1.0
INN00051,10.0
INN00052,10.0
INN00053,5.0
INN00054,1.0
INN00055,6.0
INN00056,8.0
INN00057,12.0
INN00058,4.0
INN00059,5.0
INN00060,7.0
INN00061,9.0
INN00062,5.0
INN00063,1.0
INN00064,9.0
INN00065,3.0
INN00066,11.0
INN00067,11.0
INN00068,5.0
INN00069,5.0
INN00070,7.0
INN00071,1.0
INN00072,12.0
INN00073,9.0
INN00074,11.0
INN00075,11.0
INN00076,3.0
INN00077,9.0
INN00078,8.0
INN00079,11.0
INN00080,5.0
INN00081,6.0
INN00082,2.0
INN00083,1.0
INN00084,4.0
INN00085,4.0
INN00086,10.0
INN00087,3.0
INN00088,12.0
INN00089,12.0
INN00090,1.0
INN00091,8.0
INN00092,5.0
INN00093,6.0
INN00094,8.0
INN00095,2.0
INN00096,12.0
INN00097,7.0
INN00098,8.0
INN00099,12.0
INN00100,1.0
INN00101,4.0
INN00102,7.0
INN00103,2.0
INN00104,11.0
INN00105,11.0
INN00106,2.0
INN00107,11.0
INN00108,9.0
INN00109,7.0
INN00110,10.0
INN00111,3.0
INN00112,6.0
INN00113,10.0
INN00114,8.0
INN00115,10.0
INN00116,12.0
INN00117,6.0
INN00118,2.0
INN00119,7.0
INN00120,11.0
INN00121,7.0
INN00122,6.0
INN00123,5.0
INN00124,9.0
INN00125,7.0
INN00126,4.0
INN00127,11.0
INN00128,2.0
INN00129,9.0
INN00130,10.0
INN00131,10.0
INN00132,11.0
INN00133,10.0
INN00134,11.0
INN00135,6.0
INN00136,10.0
INN00137,1.0
INN00138,11.0
INN00139,8.0
INN00140,5.0
INN00141,5.0
INN00142,2.0
INN00143,11.0
INN00144,7.0
INN00145,5.0
INN00146,6.0
INN00147,8.0
INN00148,7.0
INN00149,8.0
INN00150,6.0
INN00151,7.0
INN00152,2.0
INN00153,6.0
INN00154,4.0
INN00155,5.0
INN00156,11.0
INN00157,8.0
INN00158,4.0
INN00159,5.0
INN00160,6.0
INN00161,1.0
INN00162,7.0
INN00163,10.0
INN00164,2.0
INN00165,12.0
INN00166,1.0
INN00167,6.0
INN00168,11.0
